,index,Season,Week,Include,Team 1,Team 2,Spread Open,O/U Open,Open Favorite,Spread Close,O/U Close,Close Favorite,Spread Consensus Team 1,Spread Consensus Team 2,Over Consensus,Under Consensus,Moneyline Consensus Team 1,Moneyline Consensus Team 2,Game ID 1,Game ID 2
148,296,2019,3,True,Atlanta,Indianapolis,-2.0,48.0,Team 2,-1.0,48.0,Team 2,49%,51%,66%,34%,74%,26%,20193AtlantaIndianapolis,20193IndianapolisAtlanta
149,298,2019,3,True,Oakland,Minnesota,-7.0,43.0,Team 2,-9.0,43.5,Team 2,31%,69%,69%,31%,12%,88%,20193OaklandMinnesota,20193MinnesotaOakland
150,300,2019,3,True,NYJets,NewEngland,0.0,48.0,No Favorite,-21.0,43.0,Team 2,28%,72%,57%,43%,6%,94%,20193NYJetsNewEngland,20193NewEnglandNYJets
151,302,2019,3,True,Miami,Dallas,-16.0,47.0,Team 2,-22.5,46.5,Team 2,37%,63%,55%,45%,35%,65%,20193MiamiDallas,20193DallasMiami
152,304,2019,3,True,NYGiants,TampaBay,-4.0,49.0,Team 2,-5.5,48.0,Team 2,62%,38%,46%,54%,57%,43%,20193NYGiantsTampaBay,20193TampaBayNYGiants
153,306,2019,3,True,Carolina,Arizona,-3.0,43.5,Team 1,-2.0,45.5,Team 2,34%,66%,69%,31%,21%,79%,20193CarolinaArizona,20193ArizonaCarolina
154,308,2019,3,True,NewOrleans,Seattle,0.0,50.0,No Favorite,-5.0,44.0,Team 2,39%,61%,36%,64%,13%,87%,20193NewOrleansSeattle,20193SeattleNewOrleans
155,310,2019,3,True,Houston,LAChargers,-4.0,49.0,Team 2,-3.0,49.0,Team 2,48%,52%,61%,39%,71%,29%,20193HoustonLAChargers,20193LAChargersHouston
156,312,2019,3,True,Pittsburgh,SanFrancisco,0.0,46.5,No Favorite,-6.0,44.5,Team 2,59%,41%,83%,17%,65%,35%,20193PittsburghSanFrancisco,20193SanFranciscoPittsburgh
157,314,2019,3,True,LARams,Cleveland,-2.5,51.0,Team 1,-4.5,48.5,Team 1,64%,36%,74%,26%,62%,38%,20193LARamsCleveland,20193ClevelandLARams
158,316,2019,3,True,Chicago,Washington,-5.0,42.5,Team 1,-5.0,41.0,Team 1,56%,44%,39%,61%,66%,34%,20193ChicagoWashington,20193WashingtonChicago
159,318,2019,4,True,Philadelphia,GreenBay,-3.0,48.0,Team 2,-3.5,46.5,Team 2,44%,56%,66%,34%,26%,74%,20194PhiladelphiaGreenBay,20194GreenBayPhiladelphia
160,320,2019,4,True,Carolina,Houston,,,Team 1,-5.5,47.5,Team 2,37%,63%,74%,26%,42%,58%,20194CarolinaHouston,20194HoustonCarolina
161,322,2019,4,True,Cleveland,Baltimore,-5.0,46.5,Team 2,-7.0,47.5,Team 2,45%,55%,79%,21%,57%,43%,20194ClevelandBaltimore,20194BaltimoreCleveland
162,324,2019,4,True,Washington,NYGiants,-2.5,46.0,Team 2,-3.0,48.0,Team 2,53%,47%,55%,45%,28%,72%,20194WashingtonNYGiants,20194NYGiantsWashington
163,326,2019,4,True,LAChargers,Miami,-16.0,45.0,Team 1,-14.5,44.0,Team 1,42%,58%,44%,56%,84%,16%,20194LAChargersMiami,20194MiamiLAChargers
164,328,2019,4,True,Oakland,Indianapolis,-6.5,44.0,Team 2,-5.5,46.0,Team 2,47%,53%,60%,40%,39%,61%,20194OaklandIndianapolis,20194IndianapolisOakland
165,330,2019,4,True,KansasCity,Detroit,-6.0,53.0,Team 1,-7.0,54.5,Team 1,77%,23%,67%,33%,87%,13%,20194KansasCityDetroit,20194DetroitKansasCity
166,332,2019,4,True,NewEngland,Buffalo,-6.0,44.0,Team 1,-7.0,41.5,Team 1,79%,21%,36%,64%,91%,9%,20194NewEnglandBuffalo,20194BuffaloNewEngland
167,334,2019,4,True,Tennessee,Atlanta,-3.5,46.5,Team 2,-3.5,46.0,Team 2,55%,45%,60%,40%,31%,69%,20194TennesseeAtlanta,20194AtlantaTennessee
168,336,2019,4,True,TampaBay,LARams,-9.0,50.0,Team 2,-9.5,48.5,Team 2,45%,55%,52%,48%,4%,96%,20194TampaBayLARams,20194LARamsTampaBay
169,338,2019,4,True,Seattle,Arizona,-3.0,46.0,Team 1,-5.5,49.0,Team 1,51%,49%,49%,51%,89%,11%,20194SeattleArizona,20194ArizonaSeattle
170,340,2019,4,True,Minnesota,Chicago,-3.0,39.0,Team 2,0.0,38.0,No Favorite,47%,53%,44%,56%,55%,45%,20194MinnesotaChicago,20194ChicagoMinnesota
171,342,2019,4,True,Jacksonville,Denver,-3.5,38.0,Team 2,-2.5,37.0,Team 2,37%,63%,49%,51%,37%,63%,20194JacksonvilleDenver,20194DenverJacksonville
172,344,2019,4,True,Dallas,NewOrleans,-1.5,45.0,Team 1,-2.5,47.5,Team 1,68%,32%,54%,46%,67%,33%,20194DallasNewOrleans,20194NewOrleansDallas
173,346,2019,4,True,Cincinnati,Pittsburgh,-4.5,43.5,Team 2,-3.5,45.0,Team 2,48%,52%,57%,43%,34%,66%,20194CincinnatiPittsburgh,20194PittsburghCincinnati
174,348,2019,5,True,LARams,Seattle,-1.5,48.0,Team 1,-1.5,48.5,Team 2,49%,51%,41%,59%,46%,54%,20195LARamsSeattle,20195SeattleLARams
175,350,2019,5,True,Baltimore,Pittsburgh,-3.0,42.5,Team 1,-3.0,44.0,Team 1,44%,56%,80%,20%,53%,47%,20195BaltimorePittsburgh,20195PittsburghBaltimore
176,352,2019,5,True,Chicago,Oakland,-6.0,41.0,Team 1,-6.5,40.0,Team 1,74%,26%,27%,73%,78%,22%,20195ChicagoOakland,20195OaklandChicago
177,354,2019,5,True,Arizona,Cincinnati,-4.0,48.5,Team 2,-3.0,46.5,Team 2,54%,46%,76%,24%,75%,25%,20195ArizonaCincinnati,20195CincinnatiArizona
178,356,2019,5,True,Jacksonville,Carolina,-3.0,42.0,Team 2,-3.0,41.0,Team 2,33%,67%,35%,65%,45%,55%,20195JacksonvilleCarolina,20195CarolinaJacksonville
179,358,2019,5,True,Minnesota,NYGiants,-5.5,46.0,Team 1,-6.0,43.5,Team 1,68%,32%,52%,48%,73%,27%,20195MinnesotaNYGiants,20195NYGiantsMinnesota
180,360,2019,5,True,NewEngland,Washington,-13.0,47.5,Team 1,-16.5,42.0,Team 1,77%,23%,59%,41%,96%,4%,20195NewEnglandWashington,20195WashingtonNewEngland
181,362,2019,5,True,NYJets,Philadelphia,-13.0,44.5,Team 2,-14.0,43.0,Team 2,34%,66%,50%,50%,14%,86%,20195NYJetsPhiladelphia,20195PhiladelphiaNYJets
182,364,2019,5,True,TampaBay,NewOrleans,,,Team 1,-3.0,46.5,Team 2,53%,47%,62%,38%,9%,91%,20195TampaBayNewOrleans,20195NewOrleansTampaBay
183,366,2019,5,True,Atlanta,Houston,,,Team 1,-4.0,50.0,Team 2,44%,56%,77%,23%,34%,66%,20195AtlantaHouston,20195HoustonAtlanta
184,368,2019,5,True,Buffalo,Tennessee,,,Team 1,-3.0,39.0,Team 2,52%,48%,39%,61%,64%,36%,20195BuffaloTennessee,20195TennesseeBuffalo
185,370,2019,5,True,Denver,LAChargers,,,Team 1,-4.5,45.5,Team 2,51%,49%,45%,55%,44%,56%,20195DenverLAChargers,20195LAChargersDenver
186,372,2019,5,True,GreenBay,Dallas,,,Team 1,-3.5,46.5,Team 2,54%,46%,73%,27%,59%,41%,20195GreenBayDallas,20195DallasGreenBay
187,374,2019,5,True,Indianapolis,KansasCity,,,Team 1,-11.0,55.5,Team 2,30%,70%,64%,36%,15%,85%,20195IndianapolisKansasCity,20195KansasCityIndianapolis
188,376,2019,5,True,Cleveland,SanFrancisco,,,Team 1,-5.0,48.0,Team 2,56%,44%,69%,31%,53%,47%,20195ClevelandSanFrancisco,20195SanFranciscoCleveland
189,378,2019,6,True,NYGiants,NewEngland,-14.0,46.5,Team 2,-17.0,43.0,Team 2,30%,70%,64%,36%,8%,92%,20196NYGiantsNewEngland,20196NewEnglandNYGiants
190,380,2019,6,True,Carolina,TampaBay,0.0,46.0,No Favorite,-2.0,47.5,Team 1,52%,48%,43%,57%,64%,36%,20196CarolinaTampaBay,20196TampaBayCarolina
191,382,2019,6,True,Cincinnati,Baltimore,-8.5,48.0,Team 2,-10.5,47.0,Team 2,51%,49%,81%,19%,11%,89%,20196CincinnatiBaltimore,20196BaltimoreCincinnati
192,384,2019,6,True,Seattle,Cleveland,-2.5,46.0,Team 2,0.0,45.5,No Favorite,57%,43%,63%,37%,56%,44%,20196SeattleCleveland,20196ClevelandSeattle
193,386,2019,6,True,Houston,KansasCity,-8.5,54.0,Team 2,-3.5,54.5,Team 2,43%,57%,76%,24%,17%,83%,20196HoustonKansasCity,20196KansasCityHouston
194,388,2019,6,True,NewOrleans,Jacksonville,-1.5,43.5,Team 2,-2.5,42.5,Team 2,47%,53%,46%,54%,46%,54%,20196NewOrleansJacksonville,20196JacksonvilleNewOrleans
195,390,2019,6,True,Philadelphia,Minnesota,-3.0,44.0,Team 2,-3.5,44.5,Team 2,45%,55%,52%,48%,61%,39%,20196PhiladelphiaMinnesota,20196MinnesotaPhiladelphia
196,392,2019,6,True,Washington,Miami,-6.5,41.0,Team 1,-6.0,42.5,Team 1,46%,54%,83%,17%,78%,22%,20196WashingtonMiami,20196MiamiWashington
197,394,2019,6,True,SanFrancisco,LARams,-5.0,48.5,Team 2,-3.0,50.0,Team 2,28%,72%,53%,47%,63%,37%,20196SanFranciscoLARams,20196LARamsSanFrancisco
198,396,2019,6,True,Atlanta,Arizona,-2.5,47.0,Team 1,-3.0,52.5,Team 1,71%,29%,84%,16%,52%,48%,20196AtlantaArizona,20196ArizonaAtlanta
199,398,2019,6,True,Dallas,NYJets,-7.0,45.0,Team 1,-7.0,43.5,Team 1,63%,37%,63%,37%,91%,9%,20196DallasNYJets,20196NYJetsDallas
200,400,2019,6,True,Tennessee,Denver,0.0,40.0,No Favorite,-1.0,41.0,Team 2,47%,53%,23%,77%,47%,53%,20196TennesseeDenver,20196DenverTennessee
201,402,2019,6,True,Pittsburgh,LAChargers,-5.5,43.5,Team 2,-6.0,42.5,Team 2,32%,68%,65%,35%,28%,72%,20196PittsburghLAChargers,20196LAChargersPittsburgh
202,404,2019,6,True,Detroit,GreenBay,-5.5,46.5,Team 2,-3.5,47.0,Team 2,41%,59%,59%,41%,31%,69%,20196DetroitGreenBay,20196GreenBayDetroit
203,406,2019,7,True,KansasCity,Denver,,,Team 1,-3.0,49.5,Team 1,69%,31%,35%,65%,79%,21%,20197KansasCityDenver,20197DenverKansasCity
204,408,2019,7,True,Arizona,NYGiants,-3.0,50.0,Team 2,-3.5,50.0,Team 2,48%,52%,74%,26%,36%,64%,20197ArizonaNYGiants,20197NYGiantsArizona
205,410,2019,7,True,Houston,Indianapolis,,,Team 1,-1.5,46.5,Team 2,52%,48%,83%,17%,66%,34%,20197HoustonIndianapolis,20197IndianapolisHouston
206,412,2019,7,True,Miami,Buffalo,,,Team 1,-17.0,42.0,Team 2,69%,31%,57%,43%,23%,77%,20197MiamiBuffalo,20197BuffaloMiami
207,414,2019,7,True,Minnesota,Detroit,0.0,44.0,No Favorite,-2.5,43.5,Team 1,53%,47%,58%,42%,63%,37%,20197MinnesotaDetroit,20197DetroitMinnesota
208,416,2019,7,True,Oakland,GreenBay,,,Team 1,-6.0,47.5,Team 2,53%,47%,63%,37%,16%,84%,20197OaklandGreenBay,20197GreenBayOakland
209,418,2019,7,True,Jacksonville,Cincinnati,,,Team 1,-4.5,44.0,Team 1,66%,34%,54%,46%,58%,42%,20197JacksonvilleCincinnati,20197CincinnatiJacksonville
210,420,2019,7,True,LARams,Atlanta,,,Team 1,-3.0,54.5,Team 1,68%,32%,70%,30%,77%,23%,20197LARamsAtlanta,20197AtlantaLARams
211,422,2019,7,True,SanFrancisco,Washington,,,Team 1,-10.0,39.0,Team 1,76%,24%,31%,69%,87%,13%,20197SanFranciscoWashington,20197WashingtonSanFrancisco
212,424,2019,7,True,LAChargers,Tennessee,,,Team 1,-2.5,42.5,Team 2,56%,44%,59%,41%,57%,43%,20197LAChargersTennessee,20197TennesseeLAChargers
213,426,2019,7,True,Baltimore,Seattle,,,Team 1,-3.0,48.5,Team 2,46%,54%,79%,21%,16%,84%,20197BaltimoreSeattle,20197SeattleBaltimore
214,428,2019,7,True,NewOrleans,Chicago,,,Team 1,-4.5,37.0,Team 2,45%,55%,27%,73%,48%,52%,20197NewOrleansChicago,20197ChicagoNewOrleans
215,430,2019,7,True,Philadelphia,Dallas,,,Team 1,-3.0,50.0,Team 2,51%,49%,49%,51%,45%,55%,20197PhiladelphiaDallas,20197DallasPhiladelphia
216,432,2019,7,True,NewEngland,NYJets,-9.5,43.5,Team 1,-9.5,43.0,Team 1,56%,44%,62%,38%,81%,19%,20197NewEnglandNYJets,20197NYJetsNewEngland
217,434,2019,8,True,Washington,Minnesota,-14.0,40.0,Team 2,-16.5,42.0,Team 2,43%,57%,52%,48%,13%,87%,20198WashingtonMinnesota,20198MinnesotaWashington
218,436,2019,8,True,NYGiants,Detroit,-7.5,48.5,Team 2,-6.5,49.5,Team 2,43%,57%,63%,37%,7%,93%,20198NYGiantsDetroit,20198DetroitNYGiants
219,438,2019,8,True,TampaBay,Tennessee,-2.5,47.0,Team 2,-1.5,45.5,Team 2,59%,41%,68%,32%,38%,62%,20198TampaBayTennessee,20198TennesseeTampaBay
220,440,2019,8,True,LAChargers,Chicago,,,Team 1,-3.5,41.0,Team 2,39%,61%,63%,37%,31%,69%,20198LAChargersChicago,20198ChicagoLAChargers
221,442,2019,8,True,Seattle,Atlanta,-3.5,54.0,Team 1,-7.5,49.0,Team 1,69%,31%,45%,55%,77%,23%,20198SeattleAtlanta,20198AtlantaSeattle
222,444,2019,8,True,NYJets,Jacksonville,-4.0,41.0,Team 2,-7.0,40.0,Team 2,50%,50%,64%,36%,62%,38%,20198NYJetsJacksonville,20198JacksonvilleNYJets
223,446,2019,8,True,Philadelphia,Buffalo,-1.5,41.5,Team 2,-1.0,39.0,Team 2,62%,38%,46%,54%,49%,51%,20198PhiladelphiaBuffalo,20198BuffaloPhiladelphia
224,448,2019,8,True,Cincinnati,LARams,,,Team 1,-11.5,48.0,Team 2,25%,75%,75%,25%,9%,91%,20198CincinnatiLARams,20198LARamsCincinnati
225,450,2019,8,True,Arizona,NewOrleans,-7.5,47.5,Team 2,-12.5,48.5,Team 2,53%,47%,63%,37%,18%,82%,20198ArizonaNewOrleans,20198NewOrleansArizona
226,452,2019,8,True,Oakland,Houston,,,Team 1,-5.5,52.5,Team 2,30%,70%,75%,25%,30%,70%,20198OaklandHouston,20198HoustonOakland
227,454,2019,8,True,Carolina,SanFrancisco,,,Team 1,-4.0,40.5,Team 2,61%,39%,60%,40%,27%,73%,20198CarolinaSanFrancisco,20198SanFranciscoCarolina
228,456,2019,8,True,Denver,Indianapolis,,,Team 1,-6.0,42.0,Team 2,32%,68%,47%,53%,17%,83%,20198DenverIndianapolis,20198IndianapolisDenver
229,458,2019,8,True,Cleveland,NewEngland,-11.0,46.5,Team 2,-10.0,43.0,Team 2,29%,71%,42%,58%,17%,83%,20198ClevelandNewEngland,20198NewEnglandCleveland
230,460,2019,8,True,GreenBay,KansasCity,-4.0,48.0,Team 2,-5.5,48.0,Team 1,64%,36%,51%,49%,76%,24%,20198GreenBayKansasCity,20198KansasCityGreenBay
231,462,2019,8,True,Miami,Pittsburgh,,,Team 1,-14.0,43.5,Team 2,59%,41%,50%,50%,25%,75%,20198MiamiPittsburgh,20198PittsburghMiami
232,464,2019,9,True,SanFrancisco,Arizona,-7.0,43.0,Team 1,-10.0,43.5,Team 1,60%,40%,50%,50%,84%,16%,20199SanFranciscoArizona,20199ArizonaSanFrancisco
233,466,2019,9,True,Houston,Jacksonville,-3.0,47.0,Team 1,-1.0,46.0,Team 2,52%,48%,48%,52%,52%,48%,20199HoustonJacksonville,20199JacksonvilleHouston
234,468,2019,9,True,Washington,Buffalo,-10.0,36.5,Team 2,-10.5,37.0,Team 2,44%,56%,54%,46%,13%,87%,20199WashingtonBuffalo,20199BuffaloWashington
235,470,2019,9,True,Tennessee,Carolina,-4.5,40.0,Team 2,-3.5,43.0,Team 2,39%,61%,57%,43%,20%,80%,20199TennesseeCarolina,20199CarolinaTennessee
236,472,2019,9,True,Chicago,Philadelphia,-3.0,45.0,Team 2,-5.0,41.0,Team 2,39%,61%,57%,43%,20%,80%,20199ChicagoPhiladelphia,20199PhiladelphiaChicago
237,474,2019,9,True,Minnesota,KansasCity,-3.5,46.0,Team 2,-5.5,45.5,Team 1,54%,46%,66%,34%,67%,33%,20199MinnesotaKansasCity,20199KansasCityMinnesota
238,476,2019,9,True,NYJets,Miami,-6.5,41.0,Team 1,-3.5,42.5,Team 1,46%,54%,75%,25%,44%,56%,20199NYJetsMiami,20199MiamiNYJets
239,478,2019,9,True,Indianapolis,Pittsburgh,0.0,43.5,No Favorite,-1.0,39.5,Team 2,57%,43%,54%,46%,64%,36%,20199IndianapolisPittsburgh,20199PittsburghIndianapolis
240,480,2019,9,True,Detroit,Oakland,0.0,51.0,No Favorite,-2.5,51.5,Team 2,42%,58%,78%,22%,60%,40%,20199DetroitOakland,20199OaklandDetroit
241,482,2019,9,True,TampaBay,Seattle,-5.5,53.5,Team 2,-4.0,51.0,Team 2,33%,67%,67%,33%,27%,73%,20199TampaBaySeattle,20199SeattleTampaBay
242,484,2019,9,True,Cleveland,Denver,-1.0,43.0,Team 2,-4.0,39.0,Team 1,77%,23%,24%,76%,82%,18%,20199ClevelandDenver,20199DenverCleveland
243,486,2019,9,True,GreenBay,LAChargers,-4.0,46.0,Team 1,-4.0,50.0,Team 1,77%,23%,65%,35%,90%,10%,20199GreenBayLAChargers,20199LAChargersGreenBay
244,488,2019,9,True,NewEngland,Baltimore,-6.5,46.5,Team 1,-3.0,44.5,Team 1,71%,29%,66%,34%,66%,34%,20199NewEnglandBaltimore,20199BaltimoreNewEngland
245,490,2019,9,True,Dallas,NYGiants,-9.0,47.0,Team 1,-6.5,48.5,Team 1,67%,33%,60%,40%,85%,15%,20199DallasNYGiants,20199NYGiantsDallas
246,492,2019,10,True,LAChargers,Oakland,-1.5,47.5,Team 2,-1.5,49.0,Team 1,59%,41%,53%,47%,62%,38%,201910LAChargersOakland,201910OaklandLAChargers
247,494,2019,10,True,KansasCity,Tennessee,-3.0,48.5,Team 1,-5.5,49.0,Team 1,66%,34%,69%,31%,91%,9%,201910KansasCityTennessee,201910TennesseeKansasCity
248,496,2019,10,True,Buffalo,Cleveland,-2.5,42.5,Team 2,-3.0,42.0,Team 2,39%,61%,63%,37%,47%,53%,201910BuffaloCleveland,201910ClevelandBuffalo
249,498,2019,10,True,Arizona,TampaBay,-5.5,54.0,Team 2,-5.5,51.5,Team 2,64%,36%,85%,15%,26%,74%,201910ArizonaTampaBay,201910TampaBayArizona
250,500,2019,10,True,NYGiants,NYJets,-1.5,41.0,Team 2,-3.0,43.0,Team 1,53%,47%,72%,28%,42%,58%,201910NYGiantsNYJets,201910NYJetsNYGiants
251,502,2019,10,True,Atlanta,NewOrleans,-13.0,50.0,Team 2,-13.5,51.5,Team 2,48%,52%,84%,16%,8%,92%,201910AtlantaNewOrleans,201910NewOrleansAtlanta
252,504,2019,10,True,Baltimore,Cincinnati,-10.0,46.0,Team 1,-10.5,44.5,Team 1,51%,49%,64%,36%,95%,5%,201910BaltimoreCincinnati,201910CincinnatiBaltimore
253,506,2019,10,True,Carolina,GreenBay,-7.0,48.0,Team 2,-5.0,49.0,Team 2,33%,67%,80%,20%,24%,76%,201910CarolinaGreenBay,201910GreenBayCarolina
254,508,2019,10,True,Detroit,Chicago,-3.5,44.0,Team 2,-6.5,38.0,Team 2,36%,64%,30%,70%,27%,73%,201910DetroitChicago,201910ChicagoDetroit
255,510,2019,10,True,Miami,Indianapolis,-15.5,44.0,Team 2,-11.0,44.0,Team 2,65%,35%,85%,15%,31%,69%,201910MiamiIndianapolis,201910IndianapolisMiami
256,512,2019,10,True,LARams,Pittsburgh,-3.5,45.5,Team 1,-4.5,43.5,Team 1,68%,32%,69%,31%,65%,35%,201910LARamsPittsburgh,201910PittsburghLARams
257,514,2019,10,True,Minnesota,Dallas,-3.0,45.5,Team 2,-3.0,48.0,Team 2,47%,53%,71%,29%,47%,53%,201910MinnesotaDallas,201910DallasMinnesota
258,516,2019,10,True,Seattle,SanFrancisco,-6.0,44.0,Team 2,-6.5,47.0,Team 2,59%,41%,67%,33%,60%,40%,201910SeattleSanFrancisco,201910SanFranciscoSeattle
259,518,2019,11,True,Pittsburgh,Cleveland,-3.0,41.5,Team 2,-3.0,41.5,Team 2,54%,46%,63%,37%,54%,46%,201911PittsburghCleveland,201911ClevelandPittsburgh
260,520,2019,11,True,Dallas,Detroit,-2.5,51.5,Team 1,-7.0,46.5,Team 1,74%,26%,42%,58%,94%,6%,201911DallasDetroit,201911DetroitDallas
261,522,2019,11,True,NewOrleans,TampaBay,-5.0,51.0,Team 1,-5.5,50.5,Team 1,62%,38%,75%,25%,62%,38%,201911NewOrleansTampaBay,201911TampaBayNewOrleans
262,524,2019,11,True,Atlanta,Carolina,-7.0,54.0,Team 2,-3.5,49.0,Team 2,46%,54%,53%,47%,49%,51%,201911AtlantaCarolina,201911CarolinaAtlanta
263,526,2019,11,True,Jacksonville,Indianapolis,-3.5,44.0,Team 2,-2.5,42.0,Team 2,40%,60%,35%,65%,62%,38%,201911JacksonvilleIndianapolis,201911IndianapolisJacksonville
264,528,2019,11,True,Denver,Minnesota,-10.5,38.5,Team 2,-10.0,40.5,Team 2,25%,75%,32%,68%,10%,90%,201911DenverMinnesota,201911MinnesotaDenver
265,530,2019,11,True,NYJets,Washington,-1.5,37.5,Team 2,-1.5,37.5,Team 2,58%,42%,25%,75%,63%,37%,201911NYJetsWashington,201911WashingtonNYJets
266,532,2019,11,True,Buffalo,Miami,-7.5,39.0,Team 1,-7.0,41.5,Team 1,61%,39%,33%,67%,52%,48%,201911BuffaloMiami,201911MiamiBuffalo
267,534,2019,11,True,Houston,Baltimore,-5.0,49.0,Team 2,-4.5,51.5,Team 2,61%,39%,79%,21%,60%,40%,201911HoustonBaltimore,201911BaltimoreHouston
268,536,2019,11,True,Arizona,SanFrancisco,-14.0,44.0,Team 2,-10.0,44.0,Team 2,49%,51%,54%,46%,51%,49%,201911ArizonaSanFrancisco,201911SanFranciscoArizona
269,538,2019,11,True,NewEngland,Philadelphia,-3.0,46.0,Team 1,-4.5,45.0,Team 1,71%,29%,56%,44%,72%,28%,201911NewEnglandPhiladelphia,201911PhiladelphiaNewEngland
270,540,2019,11,True,Cincinnati,Oakland,-8.0,48.0,Team 2,-13.0,48.0,Team 2,51%,49%,48%,52%,26%,74%,201911CincinnatiOakland,201911OaklandCincinnati
271,542,2019,11,True,Chicago,LARams,-7.5,42.0,Team 2,-5.5,40.0,Team 2,37%,63%,49%,51%,38%,62%,201911ChicagoLARams,201911LARamsChicago
272,544,2019,11,True,KansasCity,LAChargers,-3.0,49.0,Team 1,-6.0,53.0,Team 1,59%,41%,65%,35%,72%,28%,201911KansasCityLAChargers,201911LAChargersKansasCity
273,546,2019,12,True,Indianapolis,Houston,-5.5,46.5,Team 2,-3.5,46.5,Team 2,43%,57%,72%,28%,19%,81%,201912IndianapolisHouston,201912HoustonIndianapolis
274,548,2019,12,True,Miami,Cleveland,-9.0,45.0,Team 2,-10.5,46.0,Team 2,46%,54%,82%,18%,18%,82%,201912MiamiCleveland,201912ClevelandMiami
275,550,2019,12,True,Denver,Buffalo,-5.5,35.0,Team 2,-4.0,37.0,Team 2,47%,53%,51%,49%,20%,80%,201912DenverBuffalo,201912BuffaloDenver
276,552,2019,12,True,Pittsburgh,Cincinnati,-7.0,40.0,Team 1,-6.0,37.0,Team 1,55%,45%,14%,86%,78%,22%,201912PittsburghCincinnati,201912CincinnatiPittsburgh
277,554,2019,12,True,NYGiants,Chicago,-7.0,41.0,Team 2,-6.0,40.5,Team 2,51%,49%,46%,54%,41%,59%,201912NYGiantsChicago,201912ChicagoNYGiants
278,556,2019,12,True,Oakland,NYJets,-3.0,47.0,Team 1,-3.5,45.0,Team 1,51%,49%,59%,41%,63%,37%,201912OaklandNYJets,201912NYJetsOakland
279,558,2019,12,True,Carolina,NewOrleans,-7.0,48.0,Team 2,-10.0,46.5,Team 2,43%,57%,71%,29%,5%,95%,201912CarolinaNewOrleans,201912NewOrleansCarolina
280,560,2019,12,True,TampaBay,Atlanta,-3.0,54.5,Team 2,-3.5,51.5,Team 2,33%,67%,76%,24%,11%,89%,201912TampaBayAtlanta,201912AtlantaTampaBay
281,562,2019,12,True,Detroit,Washington,-1.5,41.0,Team 1,-4.0,39.0,Team 1,72%,28%,24%,76%,52%,48%,201912DetroitWashington,201912WashingtonDetroit
282,564,2019,12,True,Jacksonville,Tennessee,-2.5,41.0,Team 2,-4.5,42.0,Team 2,51%,49%,57%,43%,58%,42%,201912JacksonvilleTennessee,201912TennesseeJacksonville
283,566,2019,12,True,Dallas,NewEngland,-7.0,47.0,Team 2,-5.5,44.5,Team 2,39%,61%,47%,53%,31%,69%,201912DallasNewEngland,201912NewEnglandDallas
284,568,2019,12,True,GreenBay,SanFrancisco,-3.5,44.0,Team 2,-3.0,48.0,Team 2,63%,37%,71%,29%,71%,29%,201912GreenBaySanFrancisco,201912SanFranciscoGreenBay
285,570,2019,12,True,Seattle,Philadelphia,-3.0,49.0,Team 2,-1.5,46.0,Team 1,67%,33%,46%,54%,64%,36%,201912SeattlePhiladelphia,201912PhiladelphiaSeattle
286,572,2019,12,True,Baltimore,LARams,0.0,49.0,No Favorite,-3.0,47.0,Team 1,64%,36%,63%,37%,71%,29%,201912BaltimoreLARams,201912LARamsBaltimore
287,574,2019,13,True,Chicago,Detroit,-1.5,41.0,Team 2,-5.5,37.0,Team 1,71%,29%,53%,47%,89%,11%,201913ChicagoDetroit,201913DetroitChicago
288,576,2019,13,True,Buffalo,Dallas,-7.0,45.0,Team 2,-6.5,47.0,Team 2,48%,52%,56%,44%,21%,79%,201913BuffaloDallas,201913DallasBuffalo
289,578,2019,13,True,NewOrleans,Atlanta,-5.5,48.0,Team 1,-7.0,48.0,Team 1,78%,22%,75%,25%,89%,11%,201913NewOrleansAtlanta,201913AtlantaNewOrleans
290,580,2019,13,True,GreenBay,NYGiants,-7.5,47.0,Team 1,-6.5,43.5,Team 1,84%,16%,63%,37%,95%,5%,201913GreenBayNYGiants,201913NYGiantsGreenBay
291,582,2019,13,True,Washington,Carolina,-9.0,41.0,Team 2,-10.5,39.0,Team 2,36%,64%,56%,44%,6%,94%,201913WashingtonCarolina,201913CarolinaWashington
292,584,2019,13,True,SanFrancisco,Baltimore,-4.5,46.0,Team 2,-6.0,45.0,Team 2,33%,67%,42%,58%,57%,43%,201913SanFranciscoBaltimore,201913BaltimoreSanFrancisco
293,586,2019,13,True,Tennessee,Indianapolis,-3.5,42.0,Team 2,-1.0,42.0,Team 1,58%,42%,76%,24%,43%,57%,201913TennesseeIndianapolis,201913IndianapolisTennessee
294,588,2019,13,True,Philadelphia,Miami,-7.5,46.5,Team 1,-10.0,45.0,Team 1,73%,27%,76%,24%,90%,10%,201913PhiladelphiaMiami,201913MiamiPhiladelphia
295,590,2019,13,True,Oakland,KansasCity,-8.5,54.5,Team 2,-11.0,49.5,Team 2,26%,74%,70%,30%,21%,79%,201913OaklandKansasCity,201913KansasCityOakland
296,592,2019,13,True,TampaBay,Jacksonville,-4.5,49.0,Team 2,-3.0,46.5,Team 1,53%,47%,78%,22%,54%,46%,201913TampaBayJacksonville,201913JacksonvilleTampaBay
