,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
148,296,2016,7,True,NewEngland,Pittsburgh,27,16,43,20167NewEnglandPittsburgh,20167PittsburghNewEngland
149,298,2016,7,True,Seattle,Arizona,6,6,12,20167SeattleArizona,20167ArizonaSeattle
150,300,2016,7,True,Houston,Denver,9,27,36,20167HoustonDenver,20167DenverHouston
151,302,2016,8,True,Jacksonville,Tennessee,22,36,58,20168JacksonvilleTennessee,20168TennesseeJacksonville
152,304,2016,8,True,Washington,Cincinnati,27,27,54,20168WashingtonCincinnati,20168CincinnatiWashington
153,306,2016,8,True,KansasCity,Indianapolis,30,14,44,20168KansasCityIndianapolis,20168IndianapolisKansasCity
154,308,2016,8,True,Oakland,TampaBay,30,24,54,20168OaklandTampaBay,20168TampaBayOakland
155,310,2016,8,True,Seattle,NewOrleans,20,25,45,20168SeattleNewOrleans,20168NewOrleansSeattle
156,312,2016,8,True,Detroit,Houston,13,20,33,20168DetroitHouston,20168HoustonDetroit
157,314,2016,8,True,NYJets,Cleveland,31,28,59,20168NYJetsCleveland,20168ClevelandNYJets
158,316,2016,8,True,NewEngland,Buffalo,41,25,66,20168NewEnglandBuffalo,20168BuffaloNewEngland
159,318,2016,8,True,Arizona,Carolina,20,30,50,20168ArizonaCarolina,20168CarolinaArizona
160,320,2016,8,True,SanDiego,Denver,19,27,46,20168SanDiegoDenver,20168DenverSanDiego
161,322,2016,8,True,GreenBay,Atlanta,32,33,65,20168GreenBayAtlanta,20168AtlantaGreenBay
162,324,2016,8,True,Philadelphia,Dallas,23,29,52,20168PhiladelphiaDallas,20168DallasPhiladelphia
163,326,2016,8,True,Minnesota,Chicago,10,20,30,20168MinnesotaChicago,20168ChicagoMinnesota
164,328,2016,9,True,Atlanta,TampaBay,43,28,71,20169AtlantaTampaBay,20169TampaBayAtlanta
165,330,2016,9,True,Detroit,Minnesota,22,16,38,20169DetroitMinnesota,20169MinnesotaDetroit
166,332,2016,9,True,Philadelphia,NYGiants,23,28,51,20169PhiladelphiaNYGiants,20169NYGiantsPhiladelphia
167,334,2016,9,True,NYJets,Miami,23,27,50,20169NYJetsMiami,20169MiamiNYJets
