,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
133,266,2016,6,True,Dallas,GreenBay,30.0,16.0,46.0,20166DallasGreenBay,20166GreenBayDallas
134,268,2016,6,True,Indianapolis,Houston,23.0,26.0,49.0,20166IndianapolisHouston,20166HoustonIndianapolis
135,270,2016,6,True,NYJets,Arizona,3.0,28.0,31.0,20166NYJetsArizona,20166ArizonaNYJets
136,272,2016,7,True,Chicago,GreenBay,10.0,26.0,36.0,20167ChicagoGreenBay,20167GreenBayChicago
137,274,2016,7,True,NYGiants,LosAngeles,17.0,10.0,27.0,20167NYGiantsLosAngeles,20167LosAngelesNYGiants
138,276,2016,7,True,NewOrleans,KansasCity,21.0,27.0,48.0,20167NewOrleansKansasCity,20167KansasCityNewOrleans
139,278,2016,7,True,Indianapolis,Tennessee,34.0,26.0,60.0,20167IndianapolisTennessee,20167TennesseeIndianapolis
140,280,2016,7,True,Minnesota,Philadelphia,10.0,21.0,31.0,20167MinnesotaPhiladelphia,20167PhiladelphiaMinnesota
141,282,2016,7,True,Cleveland,Cincinnati,17.0,31.0,48.0,20167ClevelandCincinnati,20167CincinnatiCleveland
142,284,2016,7,True,Washington,Detroit,17.0,20.0,37.0,20167WashingtonDetroit,20167DetroitWashington
143,286,2016,7,True,Oakland,Jacksonville,33.0,16.0,49.0,20167OaklandJacksonville,20167JacksonvilleOakland
144,288,2016,7,True,Buffalo,Miami,25.0,28.0,53.0,20167BuffaloMiami,20167MiamiBuffalo
145,290,2016,7,True,Baltimore,NYJets,16.0,24.0,40.0,20167BaltimoreNYJets,20167NYJetsBaltimore
146,292,2016,7,True,TampaBay,SanFrancisco,34.0,17.0,51.0,20167TampaBaySanFrancisco,20167SanFranciscoTampaBay
147,294,2016,7,True,SanDiego,Atlanta,33.0,30.0,63.0,20167SanDiegoAtlanta,20167AtlantaSanDiego
148,296,2016,7,True,NewEngland,Pittsburgh,27.0,16.0,43.0,20167NewEnglandPittsburgh,20167PittsburghNewEngland
149,298,2016,7,True,Seattle,Arizona,6.0,6.0,12.0,20167SeattleArizona,20167ArizonaSeattle
150,300,2016,7,True,Houston,Denver,9.0,27.0,36.0,20167HoustonDenver,20167DenverHouston
151,302,2016,8,True,Jacksonville,Tennessee,22.0,36.0,58.0,20168JacksonvilleTennessee,20168TennesseeJacksonville
152,304,2016,8,True,Washington,Cincinnati,27.0,27.0,54.0,20168WashingtonCincinnati,20168CincinnatiWashington
153,306,2016,8,True,KansasCity,Indianapolis,30.0,14.0,44.0,20168KansasCityIndianapolis,20168IndianapolisKansasCity
154,308,2016,8,True,Oakland,TampaBay,30.0,24.0,54.0,20168OaklandTampaBay,20168TampaBayOakland
155,310,2016,8,True,Seattle,NewOrleans,20.0,25.0,45.0,20168SeattleNewOrleans,20168NewOrleansSeattle
156,312,2016,8,True,Detroit,Houston,13.0,20.0,33.0,20168DetroitHouston,20168HoustonDetroit
157,314,2016,8,True,NYJets,Cleveland,31.0,28.0,59.0,20168NYJetsCleveland,20168ClevelandNYJets
158,316,2016,8,True,NewEngland,Buffalo,41.0,25.0,66.0,20168NewEnglandBuffalo,20168BuffaloNewEngland
159,318,2016,8,True,Arizona,Carolina,20.0,30.0,50.0,20168ArizonaCarolina,20168CarolinaArizona
160,320,2016,8,True,SanDiego,Denver,19.0,27.0,46.0,20168SanDiegoDenver,20168DenverSanDiego
161,322,2016,8,True,GreenBay,Atlanta,32.0,33.0,65.0,20168GreenBayAtlanta,20168AtlantaGreenBay
162,324,2016,8,True,Philadelphia,Dallas,23.0,29.0,52.0,20168PhiladelphiaDallas,20168DallasPhiladelphia
163,326,2016,8,True,Minnesota,Chicago,10.0,20.0,30.0,20168MinnesotaChicago,20168ChicagoMinnesota
164,328,2016,9,True,Atlanta,TampaBay,43.0,28.0,71.0,20169AtlantaTampaBay,20169TampaBayAtlanta
165,330,2016,9,True,Detroit,Minnesota,22.0,16.0,38.0,20169DetroitMinnesota,20169MinnesotaDetroit
166,332,2016,9,True,Philadelphia,NYGiants,23.0,28.0,51.0,20169PhiladelphiaNYGiants,20169NYGiantsPhiladelphia
167,334,2016,9,True,NYJets,Miami,23.0,27.0,50.0,20169NYJetsMiami,20169MiamiNYJets
168,336,2016,9,True,Jacksonville,KansasCity,14.0,19.0,33.0,20169JacksonvilleKansasCity,20169KansasCityJacksonville
169,338,2016,9,True,Dallas,Cleveland,35.0,10.0,45.0,20169DallasCleveland,20169ClevelandDallas
170,340,2016,9,True,Pittsburgh,Baltimore,14.0,21.0,35.0,20169PittsburghBaltimore,20169BaltimorePittsburgh
171,342,2016,9,True,NewOrleans,SanFrancisco,41.0,23.0,64.0,20169NewOrleansSanFrancisco,20169SanFranciscoNewOrleans
172,344,2016,9,True,Carolina,LosAngeles,13.0,10.0,23.0,20169CarolinaLosAngeles,20169LosAngelesCarolina
173,346,2016,9,True,Indianapolis,GreenBay,31.0,26.0,57.0,20169IndianapolisGreenBay,20169GreenBayIndianapolis
174,348,2016,9,True,Tennessee,SanDiego,35.0,43.0,78.0,20169TennesseeSanDiego,20169SanDiegoTennessee
175,350,2016,9,True,Denver,Oakland,20.0,30.0,50.0,20169DenverOakland,20169OaklandDenver
176,352,2016,9,True,Buffalo,Seattle,25.0,31.0,56.0,20169BuffaloSeattle,20169SeattleBuffalo
177,354,2016,10,True,Cleveland,Baltimore,7.0,28.0,35.0,201610ClevelandBaltimore,201610BaltimoreCleveland
178,356,2016,10,True,Houston,Jacksonville,24.0,21.0,45.0,201610HoustonJacksonville,201610JacksonvilleHouston
179,358,2016,10,True,Denver,NewOrleans,25.0,23.0,48.0,201610DenverNewOrleans,201610NewOrleansDenver
180,360,2016,10,True,LosAngeles,NYJets,9.0,6.0,15.0,201610LosAngelesNYJets,201610NYJetsLosAngeles
181,362,2016,10,True,Atlanta,Philadelphia,15.0,24.0,39.0,201610AtlantaPhiladelphia,201610PhiladelphiaAtlanta
182,364,2016,10,True,KansasCity,Carolina,20.0,17.0,37.0,201610KansasCityCarolina,201610CarolinaKansasCity
183,366,2016,10,True,Chicago,TampaBay,10.0,36.0,46.0,201610ChicagoTampaBay,201610TampaBayChicago
184,368,2016,10,True,Minnesota,Washington,20.0,26.0,46.0,201610MinnesotaWashington,201610WashingtonMinnesota
185,370,2016,10,True,GreenBay,Tennessee,25.0,47.0,72.0,201610GreenBayTennessee,201610TennesseeGreenBay
186,372,2016,10,True,Miami,SanDiego,31.0,24.0,55.0,201610MiamiSanDiego,201610SanDiegoMiami
187,374,2016,10,True,SanFrancisco,Arizona,20.0,23.0,43.0,201610SanFranciscoArizona,201610ArizonaSanFrancisco
188,376,2016,10,True,Dallas,Pittsburgh,35.0,30.0,65.0,201610DallasPittsburgh,201610PittsburghDallas
189,378,2016,10,True,Seattle,NewEngland,31.0,24.0,55.0,201610SeattleNewEngland,201610NewEnglandSeattle
190,380,2016,10,True,Cincinnati,NYGiants,20.0,21.0,41.0,201610CincinnatiNYGiants,201610NYGiantsCincinnati
191,382,2016,11,True,NewOrleans,Carolina,20.0,23.0,43.0,201611NewOrleansCarolina,201611CarolinaNewOrleans
192,384,2016,11,True,Pittsburgh,Cleveland,24.0,9.0,33.0,201611PittsburghCleveland,201611ClevelandPittsburgh
193,386,2016,11,True,Baltimore,Dallas,17.0,27.0,44.0,201611BaltimoreDallas,201611DallasBaltimore
194,388,2016,11,True,Jacksonville,Detroit,19.0,26.0,45.0,201611JacksonvilleDetroit,201611DetroitJacksonville
195,390,2016,11,True,Tennessee,Indianapolis,17.0,24.0,41.0,201611TennesseeIndianapolis,201611IndianapolisTennessee
196,392,2016,11,True,Buffalo,Cincinnati,16.0,12.0,28.0,201611BuffaloCincinnati,201611CincinnatiBuffalo
197,394,2016,11,True,TampaBay,KansasCity,19.0,17.0,36.0,201611TampaBayKansasCity,201611KansasCityTampaBay
198,396,2016,11,True,Chicago,NYGiants,16.0,22.0,38.0,201611ChicagoNYGiants,201611NYGiantsChicago
199,398,2016,11,True,Arizona,Minnesota,24.0,30.0,54.0,201611ArizonaMinnesota,201611MinnesotaArizona
200,400,2016,11,True,Miami,LosAngeles,14.0,10.0,24.0,201611MiamiLosAngeles,201611LosAngelesMiami
201,402,2016,11,True,NewEngland,SanFrancisco,30.0,17.0,47.0,201611NewEnglandSanFrancisco,201611SanFranciscoNewEngland
202,404,2016,11,True,Philadelphia,Seattle,15.0,26.0,41.0,201611PhiladelphiaSeattle,201611SeattlePhiladelphia
203,406,2016,11,True,GreenBay,Washington,24.0,42.0,66.0,201611GreenBayWashington,201611WashingtonGreenBay
204,408,2016,11,True,Houston,Oakland,20.0,27.0,47.0,201611HoustonOakland,201611OaklandHouston
205,410,2016,12,True,Minnesota,Detroit,13.0,16.0,29.0,201612MinnesotaDetroit,201612DetroitMinnesota
206,412,2016,12,True,Washington,Dallas,26.0,31.0,57.0,201612WashingtonDallas,201612DallasWashington
207,414,2016,12,True,Pittsburgh,Indianapolis,28.0,7.0,35.0,201612PittsburghIndianapolis,201612IndianapolisPittsburgh
208,416,2016,12,True,Tennessee,Chicago,27.0,21.0,48.0,201612TennesseeChicago,201612ChicagoTennessee
209,418,2016,12,True,Jacksonville,Buffalo,21.0,28.0,49.0,201612JacksonvilleBuffalo,201612BuffaloJacksonville
210,420,2016,12,True,Cincinnati,Baltimore,14.0,19.0,33.0,201612CincinnatiBaltimore,201612BaltimoreCincinnati
211,422,2016,12,True,Arizona,Atlanta,19.0,38.0,57.0,201612ArizonaAtlanta,201612AtlantaArizona
212,424,2016,12,True,NYGiants,Cleveland,27.0,13.0,40.0,201612NYGiantsCleveland,201612ClevelandNYGiants
213,426,2016,12,True,LosAngeles,NewOrleans,21.0,49.0,70.0,201612LosAngelesNewOrleans,201612NewOrleansLosAngeles
214,428,2016,12,True,SanFrancisco,Miami,24.0,31.0,55.0,201612SanFranciscoMiami,201612MiamiSanFrancisco
215,430,2016,12,True,SanDiego,Houston,21.0,13.0,34.0,201612SanDiegoHouston,201612HoustonSanDiego
216,432,2016,12,True,Seattle,TampaBay,5.0,14.0,19.0,201612SeattleTampaBay,201612TampaBaySeattle
217,434,2016,12,True,Carolina,Oakland,32.0,35.0,67.0,201612CarolinaOakland,201612OaklandCarolina
218,436,2016,12,True,NewEngland,NYJets,22.0,17.0,39.0,201612NewEnglandNYJets,201612NYJetsNewEngland
219,438,2016,12,True,KansasCity,Denver,30.0,27.0,57.0,201612KansasCityDenver,201612DenverKansasCity
220,440,2016,12,True,GreenBay,Philadelphia,27.0,13.0,40.0,201612GreenBayPhiladelphia,201612PhiladelphiaGreenBay
221,442,2016,13,True,Dallas,Minnesota,17.0,15.0,32.0,201613DallasMinnesota,201613MinnesotaDallas
222,444,2016,13,True,KansasCity,Atlanta,29.0,28.0,57.0,201613KansasCityAtlanta,201613AtlantaKansasCity
223,446,2016,13,True,Detroit,NewOrleans,28.0,13.0,41.0,201613DetroitNewOrleans,201613NewOrleansDetroit
224,448,2016,13,True,LosAngeles,NewEngland,10.0,26.0,36.0,201613LosAngelesNewEngland,201613NewEnglandLosAngeles
225,450,2016,13,True,Denver,Jacksonville,20.0,10.0,30.0,201613DenverJacksonville,201613JacksonvilleDenver
226,452,2016,13,True,Houston,GreenBay,13.0,21.0,34.0,201613HoustonGreenBay,201613GreenBayHouston
